system_id,system_name,thing_id,thing_token,resource_name,resource_type,resource_key
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,alertsManagerLog,boolean,alertsManagerLog
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,description,boolean,description
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,noise,numeric,noise
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,noise_avg_d,numeric,noise_avg_d
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,noise_avg_h,numeric,noise_avg_h
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,noise_avg_w,numeric,noise_avg_w
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,normalized_data,numeric,normalized_data
S01,RUIDO,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,payload,string,payload
S02,CONTAMINACIÓN EXTERIOR,6HiR-4F_LJH-dmMnXICDhYtTJPhGfzgfSzoEgbk3fhk,EOl0lQ5EfNMd63uo_rIoyYnV-b6SyBJcBEZI75RDPME,co,numeric,co
S02,CONTAMINACIÓN EXTERIOR,6HiR-4F_LJH-dmMnXICDhYtTJPhGfzgfSzoEgbk3fhk,EOl0lQ5EfNMd63uo_rIoyYnV-b6SyBJcBEZI75RDPME,co2,numeric,co2
