system_id,system_name,total_sensors,sampled,sensors_ok,sensors_err,resource_count,resources_detected
S01,RUIDO,3,3,1,2,8,alertsManagerLog; description; noise; noise_avg_d; noise_avg_h; noise_avg_w; normalized_data; payload
S02,CONTAMINACIÓN EXTERIOR,69,5,4,1,55,co; co2; co2_avg_d; co2_avg_h; co2_avg_w; co_avg_d; co_avg_h; co_avg_w; ctm_payload; description; ica_aemet; ica_aemet_num; ica_aemet_num_avg_d; ica_aemet_num_avg_h; ica_aemet_num_avg_w; no; no2; no2_avg_d; no2_avg_h; no2_avg_w; no_avg_d; no_avg_h; no_avg_w; o3; o3_avg_d; o3_avg_h; o3_avg_w; pm1; pm10; pm10_avg_d; pm10_avg_h; pm10_avg_w; pm1_avg_d; pm1_avg_h; pm1_avg_w; pm25; pm25_avg_d; pm25_avg_h; pm25_avg_w; polen; polen_avg_d; polen_avg_h; polen_avg_w; pressure; pressure_avg_d; pressure_avg_h; pressure_avg_w; relativehum; relativehum_avg_d; relativehum_avg_h; relativehum_avg_w; temperature; temperature_avg_d; temperature_avg_h; temperature_avg_w
S03,GAS RADON,1,1,0,1,0,
S04,AMBIENTE INTERIOR,112,5,3,2,16,alertsManagerLog; co2; co2_avg_d; co2_avg_h; co2_avg_w; ctm_error; ctm_payload; description; humidity; humidity_avg_d; humidity_avg_h; humidity_avg_w; temperature; temperature_avg_d; temperature_avg_h; temperature_avg_w
S05,ELECTRICIDAD,102,5,3,2,118,amps; amps_avg_d; amps_avg_h; amps_avg_w; amps_l1; amps_l1_avg_d; amps_l1_avg_h; amps_l1_avg_w; amps_l2; amps_l2_avg_d; amps_l2_avg_h; amps_l2_avg_w; amps_l3; amps_l3_avg_d; amps_l3_avg_h; amps_l3_avg_w; ctm_payload; description; energy; energy_acum_d; energy_acum_h; energy_acum_w; pf; pf_avg_d; pf_avg_h; pf_avg_w; pf_l1; pf_l1_avg_d; pf_l1_avg_h; pf_l1_avg_w; pf_l2; pf_l2_avg_d; pf_l2_avg_h; pf_l2_avg_w; pf_l3; pf_l3_avg_d; pf_l3_avg_h; pf_l3_avg_w; thd_i; thd_i_avg_d; thd_i_avg_h; thd_i_avg_w; thd_i_l1; thd_i_l1_avg_d; thd_i_l1_avg_h; thd_i_l1_avg_w; thd_i_l2; thd_i_l2_avg_d; thd_i_l2_avg_h; thd_i_l2_avg_w; thd_i_l3; thd_i_l3_avg_d; thd_i_l3_avg_h; thd_i_l3_avg_w; thd_v; thd_v_avg_d; thd_v_avg_h; thd_v_avg_w; thd_v_l1; thd_v_l1_avg_d; thd_v_l1_avg_h; thd_v_l1_avg_w; thd_v_l2; thd_v_l2_avg_d; thd_v_l2_avg_h; thd_v_l2_avg_w; thd_v_l3; thd_v_l3_avg_d; thd_v_l3_avg_h; thd_v_l3_avg_w; var; var_avg_d; var_avg_h; var_avg_w; var_l1; var_l1_avg_d; var_l1_avg_h; var_l1_avg_w; var_l2; var_l2_avg_d; var_l2_avg_h; var_l2_avg_w; var_l3; var_l3_avg_d; var_l3_avg_h; var_l3_avg_w; volts; volts_avg_d; volts_avg_h; volts_avg_w; volts_l1; volts_l1_avg_d; volts_l1_avg_h; volts_l1_avg_w; volts_l2; volts_l2_avg_d; volts_l2_avg_h; volts_l2_avg_w; volts_l3; volts_l3_avg_d; volts_l3_avg_h; volts_l3_avg_w; watts; watts_avg_d; watts_avg_h; watts_avg_w; watts_l1; watts_l1_avg_d; watts_l1_avg_h; watts_l1_avg_w; watts_l2; watts_l2_avg_d; watts_l2_avg_h; watts_l2_avg_w; watts_l3; watts_l3_avg_d; watts_l3_avg_h; watts_l3_avg_w
S06,AGUA,257,5,0,5,0,
S07,GAS,25,5,1,4,52,ch_a; ch_a_acum_d; ch_a_acum_h; ch_a_acum_w; ch_a_avg_d; ch_a_avg_h; ch_a_avg_w; ch_a_inc; ch_a_inc_acum_d; ch_a_inc_acum_h; ch_a_inc_acum_w; ch_a_inc_avg_d; ch_a_inc_avg_h; ch_a_inc_avg_w; ch_b; ch_b_acum_d; ch_b_acum_h; ch_b_acum_w; ch_b_avg_d; ch_b_avg_h; ch_b_avg_w; ch_b_inc; ch_b_inc_acum_d; ch_b_inc_acum_h; ch_b_inc_acum_w; ch_b_inc_avg_d; ch_b_inc_avg_h; ch_b_inc_avg_w; description; gas; m3_a; m3_a_acum_d; m3_a_acum_h; m3_a_acum_w; m3_a_avg_d; m3_a_avg_h; m3_a_avg_w; m3_b; m3_b_acum_d; m3_b_acum_h; m3_b_acum_w; m3_b_avg_d; m3_b_avg_h; m3_b_avg_w; status; status_acum_d; status_acum_h; status_acum_w; status_avg_d; status_avg_h; status_avg_w; timestamp
S08,CALDERAS,107,5,2,3,1,description
S09,CLIMATIZACIÓN,53,5,0,5,0,
S13A,SOSTENIBILIDAD EDIFICIOS,14,5,0,5,0,
