sensor_id,thing_id,thing_token,hos,building_found,building_name,system_id,system_name,district_name,neighborhood,lat,lon,resource_detected,last_timestamp,last_value,has_real_value,timestamp_status,days_since_last_data,active_status,issues,api_error
HOS044-S01-01,SnHdcxnnzpD1Z79Dvxs_8O-CkgSE79MVRI3j6T0DxEk,Rgbvq1cQ-axYBE3u6gUFQqr3yHRHKDT_q29KAmWa2fI,HOS044,True,HOS044 Esc. Gornal,S01,RUIDO,,,41.35800213172508,2.117626512218669,noise,2026-06-20T09:22:15.264Z,56.1,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS044-S01-01,suj9PiI4JbekaYqNnsbjaQY2kR1TrCjFT1KOvxdOzPU,t0kyL490cWiXX1e4kfQyAnY9Ias4JGDk2heMNgqHL60,HOS044,True,HOS044 Esc. Gornal,S01,RUIDO,,,41.35800213172508,2.117626512218669,,,,False,NOT_APPLICABLE,,NO_DATA,MISSING_DISTRICT; MISSING_NEIGHBORHOOD; NO_DATA,
HOS136-S01-01 (T257517),XzMNdYAN5eNT1UNnkgGcoT6Zb1kO9QeLauwy9m-pon8,h4C7It4LeNY6j1bXTEJ6GxIdEWoQ91mlnryTQalX_no,HOS136,True,HOS136 Residencia Els Alps,S01,RUIDO,,,41.36258967284149,2.0954845257125845,,,,False,NOT_APPLICABLE,,NO_DATA,MISSING_COORDS; MISSING_DISTRICT; MISSING_NEIGHBORHOOD; NO_DATA,
HOS134-S02-01 BET00230041,qy61tETGeUS01qP-PWHe9jzIH9iJGFrfWeJFEfqrcww,g1IsSa3EuyYjLxjScHAkuwOEr4akw6OBG0DexqI9uw8,HOS134,True,HOS134 Iglesia de la Florida,S02,CONTAMINACIÓN EXTERIOR,,,41.37080774309496,2.1094923201990894,temperature,2026-06-20T09:22:30.195Z,34,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS105-S02-01 BET00230045,cPrSYjFUXGQS8C8bZybxmgUwtIZasLrxeTXRLCVjNyQ,hLVIskvW5PZ_QVkTkT1XDHRwr9Vc9gAnYHeNSv4Ro2o,HOS105,True,HOS105 Calzedonia,S02,CONTAMINACIÓN EXTERIOR,,,41.35897219392181,2.129535410370654,temperature,2026-06-20T09:22:34.392Z,32,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS514-S02-01 BET00230145,DpiPkodBFYGGfczyurg-XbBRXI8HRxVfC0owg8j5_vs,thrcVaMaj7IH0IMqrKzoLMRad3DyJSGUplQhJhAv8jw,HOS514,True,HOS514,S02,CONTAMINACIÓN EXTERIOR,,,41.37562,2.11614,temperature,2026-06-20T09:22:30.197Z,30,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS103-S02-01 BET00230036,7j4-Kdha3KXwjMVsOaaiKU0AjokWHJ97J8FWxm9XbjU,OihkFg1iRxWcyA0xmoeSYKPai8G5wS_8Ac9tHsJipuA,HOS103,True,HOS103 CLD,S02,CONTAMINACIÓN EXTERIOR,,,41.34779542044428,2.1295932797792583,temperature,2026-06-20T09:22:33.184Z,31,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS520-S02-01 BET00230151,mqVgWHUfvf_gNxXTFz7TpCVXasx7sB8H1Wo8115A7yE,v_LDfdawWkQGMsbW7KM_Y_77Buw8ZT4bjuSitUFaJLA,HOS520,True,HOS520,S02,CONTAMINACIÓN EXTERIOR,,,41.3571,2.12063,temperature,2026-06-20T09:22:30.504Z,35,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS506-S02-01 BET00230062,_0TrX0h06wO2WDeo8mNhgL1Z3Fjm7aeAQz8SyD20EX0,Ies6FIco-XrucZ6lDb9dwcEMtjBTa5fb-h_wwZyseMQ,HOS506,True,HOS506,S02,CONTAMINACIÓN EXTERIOR,,,41.37478,2.11955,temperature,2026-06-20T09:22:30.504Z,33,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
HOS515-S02-01 BET00230146,AQK8RQ0DtE9zlFRoIdswWl9sic8ORoRnqvPhbEDRv3s,fiJfShfWiNXIpsftSOQTpyKVeDoV-YwCnLgWi1eeWB8,HOS515,True,HOS515,S02,CONTAMINACIÓN EXTERIOR,,,41.35966,2.09923,temperature,2026-06-20T09:22:34.494Z,37,True,OK,0.0,ACTIVE_24H,MISSING_DISTRICT; MISSING_NEIGHBORHOOD,
