2026-06-12 08:02:31 | sensor | HOS001-S21-01 | qa_notes | None -> test_log_ok
2026-06-12 10:20:59 | building | HOS001 | short_name | Aj. Casa Consistorial -> Aj. Casa Consistorial
2026-06-12 10:20:59 | building | HOS001 | description | None -> aaa
2026-06-12 10:20:59 | building | HOS001 | type | ADMINISTRATIVO -> ADMINISTRATIVO
2026-06-12 10:20:59 | building | HOS001 | zone | RESIDENCIAL -> RESIDENCIAL
2026-06-12 10:20:59 | building | HOS001 | neighborhood_key | CENTRE -> CENTRE
2026-06-12 10:20:59 | building | HOS001 | district_code | DISTRITO-1 -> DISTRITO-1
2026-06-12 10:20:59 | building | HOS001 | street_etra | C. Digoine -> C. Digoine
2026-06-12 10:20:59 | building | HOS001 | lat | 41.3610058832045 -> 41.3610058832045
2026-06-12 10:20:59 | building | HOS001 | lon | 2.09613941249931 -> 2.09613941249931
2026-06-12 10:20:59 | building | HOS001 | thing_id | kEl-nX4_BXGYTOBOWlZ2XB-CSQROPlckcAZ78LyQIuk -> kEl-nX4_BXGYTOBOWlZ2XB-CSQROPlckcAZ78LyQIuk
2026-06-12 10:20:59 | building | HOS001 | thing_token | 1OdhHybLSE726f25bpws1wMf3ngNGp6en6y0bA5FNBo -> 1OdhHybLSE726f25bpws1wMf3ngNGp6en6y0bA5FNBo
2026-06-12 10:20:59 | building | HOS001 | observaciones | None -> None
2026-06-12 10:21:08 | building | HOS001 | short_name | Aj. Casa Consistorial -> Aj. Casa Consistorial
2026-06-12 10:21:08 | building | HOS001 | description | aaa -> None
2026-06-12 10:21:08 | building | HOS001 | type | ADMINISTRATIVO -> ADMINISTRATIVO
2026-06-12 10:21:08 | building | HOS001 | zone | RESIDENCIAL -> RESIDENCIAL
2026-06-12 10:21:08 | building | HOS001 | neighborhood_key | CENTRE -> CENTRE
2026-06-12 10:21:08 | building | HOS001 | district_code | DISTRITO-1 -> DISTRITO-1
2026-06-12 10:21:08 | building | HOS001 | street_etra | C. Digoine -> C. Digoine
2026-06-12 10:21:08 | building | HOS001 | lat | 41.3610058832045 -> 41.3610058832045
2026-06-12 10:21:08 | building | HOS001 | lon | 2.09613941249931 -> 2.09613941249931
2026-06-12 10:21:08 | building | HOS001 | thing_id | kEl-nX4_BXGYTOBOWlZ2XB-CSQROPlckcAZ78LyQIuk -> kEl-nX4_BXGYTOBOWlZ2XB-CSQROPlckcAZ78LyQIuk
2026-06-12 10:21:08 | building | HOS001 | thing_token | 1OdhHybLSE726f25bpws1wMf3ngNGp6en6y0bA5FNBo -> 1OdhHybLSE726f25bpws1wMf3ngNGp6en6y0bA5FNBo
