group_id,classification,risk,id,hos,system_id,thing_id,thing_token_present,has_real_data,last_seen,decision,confidence,reason
HOS125,SYNC_CONFLICT,CRITICAL,HOS125,HOS125,S04,HxqFoabN_Off1zb_jHZmSSZEy_waWoQEJ9KSOeyXFzE,True,True,2026-06-14T08:45:19.000Z,MANUAL_REVIEW,LOW,varios activos con datos recientes (diff 5d si disponible)
HOS125,SYNC_CONFLICT,CRITICAL,HOS125,HOS125,S05,GkNv-eqtzBCeoUUVIGUEhjmDFOZkAA8g2U5MTkpI4OI,True,True,2026-06-14T08:48:59.151Z,MANUAL_REVIEW,LOW,varios activos con datos recientes (diff 5d si disponible)
HOS125,SYNC_CONFLICT,CRITICAL,HOS125,HOS125,S08,8UrJXULhdS1lEJBVWiygwML09DlkN0D5wC3QxiU-70E,True,True,2026-06-08T12:32:41.041Z,MANUAL_REVIEW,LOW,varios activos con datos recientes (diff 5d si disponible)
HOS125,SYNC_CONFLICT,CRITICAL,HOS125,HOS125,S19,FUc4wPJ1LGvMtHEurQAwmy34KU3fGJAYNcrx_i28bIc,True,False,,MANUAL_REVIEW,LOW,varios activos con datos recientes (diff 5d si disponible)
HOS125,SYNC_CONFLICT,CRITICAL,HOS125,HOS125,S20,_hFS8aJzm2H4HMBxTDO6ZGUMvrcxRliLagxeAqnIDnA,True,False,,MANUAL_REVIEW,LOW,varios activos con datos recientes (diff 5d si disponible)
HOS125,SYNC_CONFLICT,CRITICAL,HOS125,HOS125,S21,rYmgj3Mo4yrZKr5rjB1Mv7UOgdj0Clle17T8M_aZjSQ,True,True,2026-06-10T12:14:07.992Z,MANUAL_REVIEW,LOW,varios activos con datos recientes (diff 5d si disponible)
HOS125,SYNC_CONFLICT,CRITICAL,HOS125,HOS125,S21,8CteMRvWB6hEMJwCc6vJqrxHyarTuF5tnZ2v8FE-Y1o,True,True,2026-06-13T12:14:06.042Z,MANUAL_REVIEW,LOW,varios activos con datos recientes (diff 5d si disponible)
Esc. Patufet Sant Jordi-HOS056,SYNC_CONFLICT,CRITICAL,Esc. Patufet Sant Jordi-HOS056,HOS056,S05,gU6QtsH-W3RIwAWn-5xfKhGBfkwA9JBmVX14GPPjJ1I,True,False,,MANUAL_REVIEW,LOW,ninguno tiene datos y puntuacion identica
Esc. Patufet Sant Jordi-HOS056,SYNC_CONFLICT,CRITICAL,Esc. Patufet Sant Jordi-HOS056,HOS056,S05,uUkVyKf__21jKoPlkvfN9rIm8SbPMHFy_l7_4lBQojU,True,False,,MANUAL_REVIEW,LOW,ninguno tiene datos y puntuacion identica
Esc. Patufet Sant Jordi-HOS056,SYNC_CONFLICT,CRITICAL,Esc. Patufet Sant Jordi-HOS056,HOS056,S05,RymKKw5lFTB21OZ69rA5gVJgEsEb-Ub6k7Vyui5sP24,True,False,,MANUAL_REVIEW,LOW,ninguno tiene datos y puntuacion identica
